complex_name,complex_type,complex_address,approximate_units
Alpine Village,Large Facility, 1340 N Freedom Blvd.,167
Alta Apartments,Large Facility,1850 N University Avenue,45
Bountiful Court Apartments,Large Facility,185 E 300 N,39
Campus Edge,Large Facility,1305 N Canyon Road,28
Campus Plaza Apartments,Large Facility,669 E 800 N,2
Carriage Cove Apartments,Large Facility,606 W 1720 N,120
Centennial I Apartments,Large Facility,380 N 1020 E,77
Cinnamon Tree Apartments,Large Facility,1285 N 200 W,64
College Place Provo ,Large Facility,737 N 900 E,35
College Place Woodland Apartments,Large Facility,36 W 880 N,8
Crestwood Apartments,Large Facility,1800 N State Street,100
Isles,Large Facility,727 N 300 E,41
King Henry Apartments,Large Facility,1130 E 450 N,128
Lanai,Large Facility,837 E 620 N,0
Liberty On Eighth,Large Facility,29 E 700 N,0
Liberty On Freedom,Large Facility,865 N 160 W,124
Liberty Square Apartments,Large Facility,420 E 600 N,6
Monticello Apartments,Large Facility,326 E 800 N,20
Moon Apartments,Large Facility,316 E 700 N,0
Old Academy Apartments,Large Facility,39 E 600 N,42
Omni Campus,Large Facility,675 N 500 W,38
Raintree Commons,Large Facility,1849 N 200 W,155
Regency Apartments,Large Facility,760 E 820 N,34
Southridge Apartments,Large Facility,665 N 500 E,37
Sparks II,Large Facility,999 E 450 N,36
Stadium150,Large Facility,1960 N Canyon Road,45
The Branbury Apartments,Large Facility,1724 N 450 W,312
The Brittany Apartments,Large Facility,190 E 700 N,46
The Colony Apartments,Large Facility,320 N 750 E,61
The Lodges at Glenwood,Large Facility,1565 N University Avenue,195
The Riviera Apartmants,Large Facility,1505 N Canyon Road,138
The Village at South Campus,Large Facility,592 E 600 N,238
Westwood,Large Facility,519 W 940 N,26
Academy Arms Apartments,Medium Facility,469 N 100 E,16
Allred Apartments,Medium Facility,130 E 700 N,18
Amanda Knight,Medium Facility,42 E 800 N,13
Applewood Apartments,Medium Facility,535 N 400 E,11
Arcadia Apartments,Medium Facility,1065 E 450 N,17
Banbridge Square,Medium Facility,584 N 300 E,13
Bay Terrace Apartments,Medium Facility,139 E 400 N,10
Belmont Apartments,Medium Facility,195 E 600 N,23
Berkshire Apartments,Medium Facility,41 E 400 N,11
Brookview Apartments,Medium Facility,442 N 400 E,21
Campus Villa Apartments,Medium Facility,182 W 960 N,1
Campus Way,Medium Facility,580 N 100 E,25
Casa Dea Apartments,Medium Facility,660 N 200 E,19
Centennial II Apartments,Medium Facility,1000 E 450 N,17
Center Pointe,Medium Facility,562 N 200 E,19
Cougar Country,Medium Facility,361 N 800 E,8
Cox Apartments,Medium Facility,942 N University Avenue,13
Crown Apartments,Medium Facility,455 E 600 N,13
DeVere Court Apartments,Medium Facility,650 N 100 W,9
East Pointe,Medium Facility,240 N 500 E,26
Elite Apartments,Medium Facility,813 E 820 N,7
Fleur-de-Lis,Medium Facility,275 N 300 E,16
Foxwood Condos,Medium Facility,25 W 880 N,18
Foxwood II Apartments,Medium Facility,830 N 100 W,18
Granary Apartments,Medium Facility,760 N 300 E,9
Halladay Apartments,Medium Facility,530 E 500 N,7
