facility_name,facility_type,facility_address,apt_complexlist/7
,,,
Alpine Village,Large Facility, 1340 N Freedom Blvd.,"
                "
Alta Apartments,Large Facility,1850 N University Avenue,Units
Bountiful Court Apartments,Large Facility,185 E 300 N,Units
Campus Edge,Large Facility,1305 N Canyon Road,Units
Campus Plaza Apartments,Large Facility,669 E 800 N,Units
Carriage Cove Apartments,Large Facility,606 W 1720 N,Units
Centennial I Apartments,Large Facility,380 N 1020 E,Units
Cinnamon Tree Apartments,Large Facility,1285 N 200 W,Units
College Place Provo ,Large Facility,737 N 900 E,Units
College Place Woodland Apartments,Large Facility,36 W 880 N,Units
Crestwood Apartments,Large Facility,1800 N State Street,Units
Isles,Large Facility,727 N 300 E,Units
King Henry Apartments,Large Facility,1130 E 450 N,Units
Lanai,Large Facility,837 E 620 N,Units
Liberty On Eighth,Large Facility,29 E 700 N,Units
Liberty On Freedom,Large Facility,865 N 160 W,Units
Liberty Square Apartments,Large Facility,420 E 600 N,Units
Monticello Apartments,Large Facility,326 E 800 N,Units
Moon Apartments,Large Facility,316 E 700 N,Units
Old Academy Apartments,Large Facility,39 E 600 N,Units
Omni Campus,Large Facility,675 N 500 W,Units
Raintree Commons,Large Facility,1849 N 200 W,Units
Regency Apartments,Large Facility,760 E 820 N,Units
Southridge Apartments,Large Facility,665 N 500 E,Units
Sparks II,Large Facility,999 E 450 N,Units
Stadium150,Large Facility,1960 N Canyon Road,Units
The Branbury Apartments,Large Facility,1724 N 450 W,Units
The Brittany Apartments,Large Facility,190 E 700 N,Units
The Colony Apartments,Large Facility,320 N 750 E,Units
The Lodges at Glenwood,Large Facility,1565 N University Avenue,Units
The Riviera Apartmants,Large Facility,1505 N Canyon Road,Units
The Village at South Campus,Large Facility,592 E 600 N,Units
Westwood,Large Facility,519 W 940 N,Units
Academy Arms Apartments,Medium Facility,469 N 100 E,Units
Allred Apartments,Medium Facility,130 E 700 N,Units
Amanda Knight,Medium Facility,42 E 800 N,Units
Applewood Apartments,Medium Facility,535 N 400 E,Units
Arcadia Apartments,Medium Facility,1065 E 450 N,Units
Banbridge Square,Medium Facility,584 N 300 E,Units
