complex_names,complex_address,complex_rating,num_of_reviews
Alpine Village apartments provo,"1378 Freedom Blvd 200 W, Provo, UT",2.9,310
Alta Apartments apartments provo,"1850 N University Ave, Provo, UT",3.9,50
Bountiful Court Apartments apartments provo,"185 300 N #69, Provo, UT",3.3,82
Campus Edge apartments provo,"1305 N Canyon Rd, Provo, UT",2.9,39
Campus Plaza Apartments apartments provo,"669 E 800 N, Provo, UT",4.4,45
Carriage Cove Apartments apartments provo,"606 W 1720 N, Provo, UT",3,142
Centennial I Apartments apartments provo,"380 N 1020 E St, Provo, UT",3.8,227
Cinnamon Tree Apartments apartments provo,"1285 N Freedom Blvd, Provo, UT",3.8,161
College Place Provo  apartments provo,"737 900 E, Provo, UT",3.1,178
College Place Woodland Apartments apartments provo,"36 W 880 N University Ave, Provo, UT",2.8,69
Crestwood Apartments apartments provo,"1800 N State St, Provo, UT",3.6,243
Isles apartments provo,"727 N 300 E #101, Provo, UT",4.1,40
King Henry Apartments apartments provo,"1130 E 450 N, Provo, UT",3.5,341
Lanai apartments provo,"838 E 700 N, Provo, UT",3,3
Liberty On Eighth apartments provo,"740 N University Ave, Provo, UT",2.8,218
Liberty On Freedom apartments provo,"865 N 160 W St, Provo, UT",3.2,481
Liberty Square Apartments apartments provo,"556 N 400 E, Provo, UT",4,393
Monticello Apartments apartments provo,"745 N 400 E, Provo, UT",3.5,32
Moon Apartments apartments provo,"680 N 300 E, Provo, UT",3,45
Old Academy Apartments apartments provo,"47 E 600 N, Provo, UT",3.1,23
Omni Campus apartments provo,"701 N 500 W, Provo, UT",3.1,46
Raintree Commons apartments provo,"1849 Freedom Blvd 200 W, Provo, UT",3.2,164
Regency Apartments apartments provo,"760 E 820 N, Provo, UT",3.7,33
Southridge Apartments apartments provo,"665 N 500 E, Provo, UT",2.9,51
Sparks II apartments provo,"999 E 450 N, Provo, UT",3.9,88
Stadium150 apartments provo,"1960 N Canyon Rd, Provo, UT",3.1,96
The Branbury Apartments apartments provo,"449 W 1720 N, Provo, UT",3.5,631
The Brittany Apartments apartments provo,"243 E 500 N, Provo, UT",4.3,9
The Colony Apartments apartments provo,"401 N 750 E, Provo, UT",3.9,40
The Lodges at Glenwood apartments provo,"1565 N University Ave, Provo, UT",2.9,356
The Riviera Apartmants apartments provo,"1505 N Canyon Rd, Provo, UT",2.9,258
The Village at South Campus apartments provo,"602 E 600 N, Provo, UT",3.4,238
Westwood apartments provo,"519 W 940 N, Provo, UT",3.5,62
Academy Arms Apartments apartments provo,"469 N 100 E, Provo, UT",3.7,19
Allred Apartments apartments provo,"150 E 700 N, Provo, UT",3,3
Arcadia Apartments apartments provo,"1065 E 450 N, Provo, UT",3.4,27
Bay Terrace Apartments apartments provo,"139 E 400 N, Provo, UT",3.1,25
Berkshire Apartments apartments provo,"41 E 400 N #1-10, Provo, UT",3.7,3
Brookview Apartments apartments provo,"442 N 400 E, Provo, UT",3.2,53
Campus Villa Apartments apartments provo,"182 W 960 N, Provo, UT",3.7,3
Campus Way apartments provo,"580 N 100 E, Provo, UT",3.8,51
Casa Dea Apartments apartments provo,"660 N 200 E, Provo, UT",4.2,14
Centennial II Apartments apartments provo,"1000 E 450 N, Provo, UT",3.3,29
Center Pointe apartments provo,"562 N 200 E, Provo, UT",2.7,33
Cougar Country apartments provo,"55 200 N #2845, Provo, UT",4.2,27
Cox Apartments apartments provo,"north, 942 N University Ave, Provo, UT",3.8,12
Crown Apartments apartments provo,"455 E 600 N, Provo, UT",3.8,16
DeVere Court Apartments apartments provo,"650 100 W, Provo, UT",5,1
East Pointe apartments provo,"274 N 500 E, Provo, UT",3.7,26
Elite Apartments apartments provo,"813 E 820 N, Provo, UT",4.5,2
